"","album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist"
"1","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Nesse Mundo","5HXkbJ3TjIkV7xWDlg1BzT",0.748,0.511,"D",-9.471,"minor",0.0354,0.619,0.0298,0.171,0.57,120.055,222613,4,"D minor",35,"BaianaSystem"
"2","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Oxe, Como Era Doce","7EbmgzMU5PjdjPD7rHy2EM",0.691,0.7,"G",-10.296,"major",0.0365,0.0174,0.00349,0.385,0.564,106.049,247227,4,"G major",37,"BaianaSystem"
"3","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Barravenida","0A9lfLNODKwjDegHIie2Zk",0.643,0.649,"G",-10.767,"major",0.0323,0.00296,0.82,0.14,0.655,133.986,297360,4,"G major",33,"BaianaSystem"
"4","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Amerika Expressa","3PqLEzzLPFoICeJxCDwdFi",0.483,0.659,"C",-9.879,"major",0.0281,0.621,0.62,0.309,0.229,126.087,179307,4,"C major",32,"BaianaSystem"
"5","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Da Calçada pro Lobato","3bS023HxMMxYTdDlQeT0yl",0.737,0.693,"G",-8.329,"major",0.0331,0.162,0.0477,0.301,0.712,125.973,273333,4,"G major",33,"BaianaSystem"
"6","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Bembadub","4vcYLcVfdWjfkDp609wnnL",0.362,0.706,"F#",-6.343,"minor",0.12,0.0875,0.133,0.126,0.675,161.871,168560,5,"F# minor",32,"BaianaSystem"
"7","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Jah Jah Revolta","66COn85KxvRxgep4mquxP5",0.548,0.801,"B",-8.318,"minor",0.0562,0.0197,0.000631,0.0764,0.68,144.015,321667,4,"B minor",34,"BaianaSystem"
"8","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Systema Fobica","2rwkPpXHf1PP7D55MJ6OP2",0.795,0.623,"E",-8.999,"minor",0.112,0.122,1.9e-05,0.07,0.343,93.01,394840,4,"E minor",31,"BaianaSystem"
"9","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Vinheta Baiana","0ci2EavwTOVx0HChmv41gy",0.491,0.559,"A",-12.445,"minor",0.0678,0.823,0.832,0.25,0.784,121.472,82760,4,"A minor",27,"BaianaSystem"
"10","6c2EeMrYqEUVZDRnugyOLm","Baianasystem","https://i.scdn.co/image/244801deaafa147b5fcb7fb55d40fe65fe47c359","2010-03-01",2010-03-01,37,"Frevo Foguete","777xwGu8CTIu24m10q8Nk7",0.479,0.722,"E",-8.749,"minor",0.0526,0.0142,0.88,0.0992,0.66,155.164,206067,4,"E minor",29,"BaianaSystem"
