"","album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist"
"1","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Tributo Ao Frango Da Malasia","6G3ejWxnAbCc5AAoaigLF4",0.514,0.466,"C#",-14.864,"major",0.123,0.907,0,0.951,0.856,126.553,25533,3,"C# major",1,"Charlie Brown Jr."
"2","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"O Côro Vai Comê","3RRroToeh491CkWyqGLCEt",0.716,0.872,"C",-3.133,"minor",0.0437,0.0768,4.69e-05,0.34,0.972,147.644,141133,4,"C minor",56,"Charlie Brown Jr."
"3","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Tudo Que Ela Gosta de Escutar","3JBxvaIwVEpYtjpbt3ZjqD",0.859,0.662,"F",-2.611,"minor",0.0472,0.118,1.67e-05,0.0246,0.915,115.384,176067,4,"F minor",59,"Charlie Brown Jr."
"4","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Sheik","3hjotkIscst2YgMWujDJ3P",0.852,0.859,"A#",-3.214,"minor",0.0657,0.153,0.000921,0.136,0.914,108.344,171333,4,"A# minor",33,"Charlie Brown Jr."
"5","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Hei! Arreia... - Vinheta","6Wgaaf0PdnRmf6E8ENdqJ0",0.452,0.629,"E",-19.251,"major",0.197,0.469,0.00569,0.361,0.223,101.316,26533,4,"E major",0,"Charlie Brown Jr."
"6","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Gimme O Anel","2tqfqPGsrngNCqdTPpyCmT",0.748,0.741,"C#",-2.364,"major",0.0315,0.108,0.000569,0.0638,0.862,117.344,170000,4,"C# major",36,"Charlie Brown Jr."
"7","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Molengol's Groove","6S9ybelxcrLwRm5fKT4M1q",0.885,0.28,"A#",-19.344,"minor",0.455,0.818,0.845,0.112,0.572,99.903,53000,4,"A# minor",25,"Charlie Brown Jr."
"8","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Aquela Paz","7kCK7FazK6VbfEqtZ6CRa0",0.542,0.7,"B",-7.091,"major",0.0421,0.0722,0.00152,0.0991,0.666,91.26,182200,4,"B major",34,"Charlie Brown Jr."
"9","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Quinta-Feira","3wYFP2c1IPzUgtoZFLaQDb",0.724,0.646,"B",-4.495,"major",0.0658,0.0977,0.179,0.0647,0.824,143.674,290200,4,"B major",38,"Charlie Brown Jr."
"10","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Proibida Pra Mim (Grazon)","5HOkVB35cz5nK6ZeRj0xM6",0.57,0.93,"G#",-3.14,"major",0.0477,0.00606,0.00381,0.102,0.925,163.751,167933,4,"G# major",59,"Charlie Brown Jr."
"11","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Lombra","4H80DZdkLaKS98vEDU2hhn",0.574,0.967,"B",-3.371,"major",0.143,0.0652,2.88e-06,0.354,0.66,166.038,191627,4,"B major",29,"Charlie Brown Jr."
"12","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Corra Vagabundo","1Ea7KlAIUYcXfSXuvDWOIb",0.63,0.884,"G#",-4.617,"major",0.0723,0.00474,0.0949,0.221,0.437,91.107,215467,4,"G# major",31,"Charlie Brown Jr."
"13","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Falar, Falar","56XzcImxR8EkD26T9Fjqkg",0.705,0.933,"C#",-3.159,"major",0.0682,0.0146,0,0.09,0.707,99.077,167307,4,"C# major",26,"Charlie Brown Jr."
"14","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Festa","2ihGrqxNfFj6GTbQdFPmOy",0.708,0.894,"B",-4.507,"minor",0.0938,0.0312,0.000374,0.0449,0.813,103.157,171693,4,"B minor",26,"Charlie Brown Jr."
"15","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Escalas Tropicais","5Ou9zuFtgccUj1YkAa9N3v",0.688,0.962,"G#",-2.194,"major",0.0872,0.0191,7.15e-06,0.0771,0.657,102.177,128573,4,"G# major",25,"Charlie Brown Jr."
"16","09Nao8wNpzTz60nY8G2n7A","Transpiração Continua Prolongada","https://i.scdn.co/image/2754752aec1417fabc527daab398ee1acb810a01","1997",1997-01-01,54,"Charlie Brown Jr.","0EfdF8WWM6tSCM9V04fnKv",0.705,0.953,"C#",-3.128,"major",0.149,0.038,0,0.0586,0.633,108.243,192000,4,"C# major",35,"Charlie Brown Jr."
"17","2hLNxoJZ5kZoBEX0XGBRNu","Preço Curto, Prazo Longo","https://i.scdn.co/image/1d3b46bc5f22c95f663ea010cd0458998dc78892","1999-01-05",1999-01-05,56,"Confisco","0qhwZ19NLe1FpQSmb4ZZau",0.824,0.989,"F#",-3.149,"minor",0.255,0.0747,0.000139,0.0858,0.515,116.033,178867,4,"F# minor",37,"Charlie Brown Jr."
"18","2hLNxoJZ5kZoBEX0XGBRNu","Preço Curto, Prazo Longo","https://i.scdn.co/image/1d3b46bc5f22c95f663ea010cd0458998dc78892","1999-01-05",1999-01-05,56,"Zoio De Lula","0AsfpL8bzbmEyJsfbPPYnj",0.682,0.674,"G#",-3.595,"minor",0.0803,0.122,7.06e-06,0.0612,0.883,152.132,252227,4,"G# minor",64,"Charlie Brown Jr."
"19","2hLNxoJZ5kZoBEX0XGBRNu","Preço Curto, Prazo Longo","https://i.scdn.co/image/1d3b46bc5f22c95f663ea010cd0458998dc78892","1999-01-05",1999-01-05,56,"Resolve O Meu Problema Aí","6uuCKMm1Q18KDoiS89aOgA",0.34,0.997,"B",-1.749,"major",0.183,0.0403,0.00036,0.314,0.348,155.191,179507,3,"B major",33,"Charlie Brown Jr."
